,sentence_para,sentence_counter,word_para,word_counter,syllable_para,syllable_counter
5186,4,4,68,95,116,145
5187,5,4,89,71,155,116
5188,5,7,79,127,135,212
5189,4,6,78,99,133,169
5190,4,6,85,125,142,188
5191,3,6,79,114,132,191
5192,4,5,80,123,132,203
5193,4,4,102,112,163,172
5194,3,6,78,128,118,213
5195,3,5,68,126,106,196
5196,4,6,76,110,117,183
5197,4,5,77,88,134,154
5198,4,5,79,116,138,190
5199,4,5,92,87,159,153
5200,4,6,88,141,139,217
5201,4,5,83,99,132,167
5202,4,5,75,111,121,179
5203,3,4,64,89,103,146
5204,5,7,106,149,166,229
5205,4,6,87,112,135,179
5206,3,4,78,94,114,144
5207,3,6,61,111,107,184
5208,4,8,79,139,147,212
5209,3,7,71,126,96,212
5210,4,4,100,71,163,116
5211,5,5,80,95,130,160
5212,4,4,68,101,118,167
5213,4,5,75,85,124,141
5214,4,6,71,114,121,193
5215,5,6,92,105,142,174
5216,4,5,67,107,110,163
5217,4,6,66,115,118,173
5218,4,4,83,72,138,113
5219,3,6,65,128,121,228
5220,4,5,74,97,124,165
5221,4,6,72,99,116,164
5222,3,5,97,98,150,156
5223,3,7,67,128,119,215
5224,4,5,93,98,153,148
5225,3,5,60,89,95,163
5226,3,5,58,110,110,174
5227,4,5,80,97,152,157
5228,4,3,85,69,130,123
5229,4,3,85,53,135,84
5230,2,5,54,87,75,141
5231,4,6,64,104,122,177
5232,4,5,71,102,116,178
5233,3,6,74,124,121,206
5234,4,6,66,116,110,195
5235,5,4,84,67,141,120
5236,3,6,69,141,117,227
5237,5,4,116,72,176,111
5238,3,5,79,109,132,175
5239,4,5,81,123,137,190
5240,3,4,68,76,115,125
5241,4,4,80,82,133,132
5242,4,5,79,112,117,181
5243,4,6,77,146,118,226
5244,4,7,76,138,131,218
5245,3,5,60,95,102,152
5246,4,6,85,128,149,193
5247,4,4,74,88,119,142
5248,4,5,89,90,145,151
5249,4,4,64,95,102,153
5250,4,4,81,107,122,163
5251,3,4,69,92,115,147
5252,3,5,61,134,105,220
5253,4,5,88,95,150,162
5254,3,4,79,83,127,134
5255,4,6,85,138,137,220
5256,5,3,90,68,142,104
5257,5,2,74,58,132,100
5258,4,5,63,86,112,157
5259,3,5,74,103,131,156
5260,4,7,93,139,138,221
5261,4,6,78,154,143,254
5262,4,5,66,87,108,148
5263,3,7,73,132,124,211
5264,3,6,59,139,92,227
5265,3,6,50,135,86,209
5266,4,7,76,125,117,187
5267,4,6,82,117,134,177
5268,4,5,83,110,134,182
5269,3,5,66,101,109,162
5270,4,5,83,96,134,182
5271,4,6,82,136,134,208
5272,3,6,72,99,109,160
5273,4,5,63,112,93,190
5274,3,6,60,140,94,218
5275,5,5,103,95,161,155
5276,4,5,84,127,147,208
5277,4,5,86,93,146,152
5278,4,5,99,127,154,210
5279,4,5,78,132,138,218
5280,4,5,70,95,99,153
5281,4,4,78,77,131,134
5282,4,4,86,69,129,122
5283,4,6,68,118,113,187
5284,4,4,74,86,126,148
5285,4,6,82,108,131,168
5286,5,5,80,122,111,203
5287,4,5,109,112,159,172
5288,4,4,65,76,112,120
5289,4,5,73,98,119,159
5290,4,6,63,120,105,187
5291,3,4,50,85,83,144
5292,4,6,84,126,118,217
5293,6,6,77,136,128,220
5294,3,5,65,96,93,154
5295,4,6,93,107,152,180
5296,4,6,74,111,123,188
5297,5,5,104,87,159,152
5298,4,5,83,104,122,171
5299,4,6,75,118,131,179
5300,4,5,80,117,120,194
5301,5,6,69,125,117,204
5302,3,6,61,142,99,248
5303,4,3,81,46,142,68
5304,5,3,86,55,134,83
5305,4,3,80,60,150,102
5306,4,4,78,77,142,129
5307,4,6,87,89,141,142
5308,4,4,79,130,124,207
5309,4,6,77,117,123,180
5310,3,6,54,146,97,266
5311,4,6,57,110,99,178
5312,5,5,68,124,106,197
5313,4,5,80,101,139,162
5314,4,5,81,98,134,178
5315,4,6,92,121,168,206
5316,5,5,91,92,150,136
5317,4,6,81,109,146,171
5318,3,6,45,113,76,200
5319,4,6,72,103,131,166
5320,4,5,68,103,111,178
5321,5,5,117,97,204,156
5322,5,5,104,97,167,156
5323,5,5,81,91,130,142
5324,4,5,83,104,134,159
5325,2,5,56,117,93,191
5326,4,5,79,105,122,163
5327,3,5,78,95,135,154
5328,4,4,84,68,136,122
5329,4,4,94,73,162,135
5330,3,4,62,85,107,133
5331,4,5,83,101,140,176
5332,4,4,90,64,140,109
5333,4,4,78,72,143,121
5334,3,5,60,89,101,146
5335,5,5,93,89,151,134
5336,4,5,68,135,111,215
5337,3,5,61,95,92,157
5338,4,4,74,86,126,148
5339,5,5,78,99,126,162
5340,3,5,56,104,88,174
5341,3,6,66,97,101,159
5342,3,6,83,111,146,183
5343,5,5,68,94,115,178
5344,5,5,92,78,141,138
5345,3,4,62,76,94,116
5346,4,5,67,115,114,180
5347,3,5,58,88,107,143
5348,3,3,70,74,118,126
5349,3,5,74,100,128,162
5350,3,5,60,67,98,111
5351,4,5,84,99,134,175
5352,5,5,81,120,130,193
5353,4,6,72,102,129,152
5354,4,4,89,80,155,134
5355,5,5,88,106,145,168
5356,4,5,73,96,109,157
5357,3,5,74,111,138,197
5358,4,4,102,115,166,185
5359,3,5,76,115,120,187
5360,5,5,80,102,123,164
5361,3,4,80,69,134,130
5362,3,6,75,103,125,177
5363,4,5,86,92,131,156
5364,3,5,72,85,121,148
5365,3,4,60,87,98,144
5366,3,5,68,103,115,176
5367,4,5,63,104,94,161
5368,4,4,88,87,145,147
5369,4,4,62,92,102,151
5370,4,5,68,104,112,168
5371,3,5,88,109,137,177
5372,5,6,100,125,165,213
5373,3,7,70,115,118,198
5374,3,4,70,83,108,125
5375,4,5,90,99,132,154
5376,4,3,75,51,103,88
5377,4,2,66,50,107,83
5378,3,5,56,96,86,157
5379,3,4,55,84,84,140
5380,2,5,57,88,105,154
5381,4,7,94,121,162,208
5382,3,4,70,85,108,147
5383,5,7,80,147,133,250
5384,3,5,78,102,129,178
5385,3,5,72,102,101,160
5386,5,5,85,85,142,156
5387,3,5,77,117,116,195
5388,4,5,85,103,131,156
5389,4,6,73,142,127,231
5390,4,6,62,115,119,205
5391,4,5,70,104,108,169
5392,4,5,76,123,119,190
5393,4,6,94,97,146,169
5394,3,5,84,89,140,137
5395,4,5,74,111,137,187
5396,4,5,68,97,108,180
5397,5,5,83,93,120,164
5398,4,7,97,130,157,209
5399,4,3,93,67,139,103
5400,3,5,66,98,124,165
5401,4,7,82,142,133,217
5402,4,6,88,124,152,197
5403,5,5,81,103,135,180
5404,5,3,86,68,129,105
5405,4,6,68,121,104,196
5406,2,6,54,104,95,179
5407,4,5,76,89,117,153
5408,3,6,68,136,123,216
5409,4,4,65,80,107,139
5410,4,6,81,117,126,194
5411,3,7,67,147,101,240
5412,4,5,71,108,119,190
5413,5,5,77,81,118,146
5414,4,6,68,103,115,166
5415,6,5,109,90,177,147
5416,3,5,62,121,108,199
5417,4,4,77,92,120,143
5418,4,5,82,95,132,145
5419,4,5,91,99,138,157
5420,3,5,63,99,99,149
5421,4,5,87,99,139,160
5422,3,4,70,95,125,162
5423,4,5,68,111,112,180
5424,4,4,71,99,126,158
5425,5,5,86,109,142,164
5426,4,6,85,130,137,211
5427,4,5,74,121,120,203
5428,4,5,76,114,123,185
5429,3,5,61,101,85,173
5430,4,4,77,85,139,149
5431,4,5,57,81,95,151
5432,4,5,84,89,135,143
5433,4,6,84,131,120,226
5434,3,5,58,95,107,154
5435,5,5,92,96,136,157
5436,3,6,81,125,126,200
5437,3,5,54,106,91,158
5438,4,5,91,94,137,166
5439,4,5,74,109,109,180
5440,4,6,72,142,119,236
5441,4,5,91,117,151,193
5442,4,6,82,134,125,209
5443,4,6,80,106,124,167
5444,4,4,82,96,131,158
5445,3,5,40,85,62,146
5446,3,5,81,102,127,177
5447,3,5,74,75,117,142
5448,4,4,81,88,117,141
5449,4,5,73,98,113,169
5450,5,5,83,98,134,172
